article;list_price;buying_price
D1MFM4KJ1J;225.30;79.76
D10804KJ1A;102.25;36.20
D4060EB36A;305.20;104.68
D40605JU0A;199.77;70.72
E61104KK3B;281.50;124.42
F20225JNBH;557.09;285.23
F20225JNDH;557.09;285.23
F20225JNFH;620.22;317.55
F31005JNMA;647.34;331.44
F31015JNMA;470.04;240.66
F51005JNMA;1105.63;604.78
110A47004R;32.40;26.47
110255677R;52.41;28.83
110600001R;93.19;51.25
110600260R;97.94;53.87
110600318R;84.76;46.62
110600686R;89.25;49.09
110600942R;96.55;53.10
110600968R;87.32;48.03
110601231R;95.70;52.64
110601560R;101.04;55.57
110601741R;87.32;48.03
110601903R;89.25;49.09
110602394R;79.12;43.52
110602449R;101.20;55.66
110602664R;102.46;56.35
110602770R;89.25;49.09
110603082R;99.26;54.59
110603305R;98.40;54.12
110603999R;87.32;48.03
110604371R;86.68;47.67
110605RF1A;87.32;48.03
110605223R;87.32;48.03
110605536R;87.32;48.03
110606181R;89.45;49.20
110606973R;89.25;49.09
110606993R;73.42;40.38
110608431R;82.79;45.53
110608635R;90.49;49.77
110609363R;87.32;48.03
110609657R;68.98;37.94
110609813R;89.25;49.09
11061BV80A;102.61;56.44
110610362R;93.19;51.25
110611151R;87.32;48.03
110611214R;25.31;13.92
110611271R;88.88;48.88
110612563R;98.03;53.92
110612674R;87.32;48.03
110614599R;87.32;48.03
110615482R;87.32;48.03
110616064R;87.32;48.03
110616357R;87.68;48.22
110616700R;97.04;53.37
110617250R;98.40;54.12
110618527R;87.32;48.03
110619413R;98.40;54.12
110673774R;84.65;50.79
110675191R;84.65;50.79
110675590R;82.48;49.49
110678071R;91.64;54.98
110679886R;91.64;54.98
117101869R;39.38;32.17
117102094R;254.35;207.80
117102877R;82.06;67.04
117105124R;112.27;91.72
117107055R;110.37;90.17
117107507R;132.65;108.38
11720BV80B;61.37;27.00
117200033R;84.40;39.67
117200051R;197.23;92.70
117200070R;144.00;67.68
117200230R;36.43;16.03
117200277R;132.73;62.38
117200278R;45.61;20.07
117200319R;197.23;92.70
117200334R;216.00;101.52
117200336R;41.11;18.09
117200713R;197.23;92.70
117201291R;108.01;50.76
117201565R;45.61;20.07
117201617R;45.61;20.07
117201622R;59.98;26.39
117201627R;228.53;107.41
117201759R;144.00;67.68
117201773R;125.21;58.85
117201902R;216.00;101.52
117201925R;125.21;58.85
117201947R;129.26;60.75
117202001R;59.98;26.39
117202056R;216.00;101.52
117202097R;37.61;16.55
117202122R;58.63;25.80
117202237R;94.46;41.56
117202245R;216.00;101.52
117202275R;45.59;20.06
117202339R;125.21;58.85
117202495R;125.21;58.85
117202503R;94.46;41.56
117202506R;93.91;44.14
117202657R;152.04;71.46
117202663R;144.00;67.68
117202851R;59.98;26.39
117202957R;187.83;88.28
117203TA0A;52.63;23.16
117203078R;241.01;113.27
117203336R;199.10;93.58
117203466R;132.73;62.38
117203694R;125.21;58.85
117203790R;199.10;93.58
117203804R;125.21;58.85
117203866R;59.98;26.39
117203942R;199.10;93.58
117204083R;213.79;100.48
117204171R;94.46;41.56
117204246R;125.21;58.85
117204663R;253.56;119.17
117204734R;85.30;40.09
117205040R;249.16;117.11
117205052R;59.98;26.39
117205123R;59.98;26.39
117205152R;94.46;41.56
117205156R;45.61;20.07
117205191R;45.61;20.07
117205367R;45.61;20.07
117205678R;59.98;26.39
117205825R;125.21;58.85
117205930R;85.30;40.09
117206040R;131.48;61.80
117206096R;125.21;58.85
117206170R;144.00;67.68
117206285R;216.00;101.52
117206430R;99.07;43.59
117206746R;187.83;88.28
117206838R;101.83;47.86
117206842R;45.59;20.06
117207020R;125.21;58.85
117207237R;59.98;26.39
117207253R;228.53;107.41
117207378R;59.98;26.39
117207504R;59.98;26.39
