article;list_price;buying_price;buying_price_self;discount;discount_self;description;weight;DLNR
D1MFM4KJ1J;225.30;79.76;68.94;64.6;69.4;BR.BELAEGE   5Q32;2080;7455
D10804KJ1A;102.25;36.20;31.29;64.6;69.4;BELAGSATZ    5Q32;220;7455
D4060EB36A;305.20;104.68;90.95;65.7;70.2;BR.BACKENSATZ5Q34;3830;7455
D40605JU0A;199.77;70.72;61.13;64.6;69.4;BREMSBELAG   5Q34;1300;7455
E61104KK3B;281.50;124.42;106.69;55.8;62.1;STOSSDAEMPFER5Q32;4150;7455
F20225JNBH;557.09;285.23;238.99;48.8;57.1;STOSSFAENGER 5Q55;5690;7455
F20225JNDH;557.09;285.23;238.99;48.8;57.1;STOSSFAENGER 5Q55;3520;7455
F20225JNFH;620.22;317.55;266.07;48.8;57.1;STOSSFAENGER 5Q55;48520;7455
F31005JNMA;647.34;331.44;277.71;48.8;57.1;KOTFLUEGEL   5Q46;4190;7455
F31015JNMA;470.04;240.66;201.65;48.8;57.1;KOTFLUEGEL   QQ46;3880;7455
F51005JNMA;1105.63;604.78;510.80;45.3;53.8;MOTORHAUBE   5Q48;19040;7455
110A47004R;32.40;26.47;23.36;18.3;27.9;HALTER       QN19;276;7455
110255677R;52.41;28.83;25.05;45;52.2;STUTZEN      ZR12;40;7455
110600001R;93.19;51.25;44.54;45;52.2;GEHAEUSE     ZP11;265;7455
110600260R;97.94;53.87;46.82;45;52.2;GEHAEUSE     7A19;460;7455
110600318R;84.76;46.62;40.52;45;52.2;GEHAEUSE     4A11;164;7455
110600686R;89.25;49.09;42.66;45;52.2;THERMOSTAT   FU11;445;7455
110600942R;96.55;53.10;46.15;45;52.2;THERMOSTAT   ZP11;550;7455
110600968R;87.32;48.03;41.74;45;52.2;THERM.GEHAEU.DA11;190;7455
110601231R;95.70;52.64;45.74;45;52.2;GEHAEUSE     7A11;400;7455
110601560R;101.04;55.57;48.30;45;52.2;GEHAEUSE     ZF11;700;7455
110601741R;87.32;48.03;41.74;45;52.2;THERMOSTAT   EA17;624;7455
110601903R;89.25;49.09;42.66;45;52.2;GEHAEUSE     ZP11;150;7455
110602394R;79.12;43.52;37.82;45;52.2;GEHAUESE     ZM11;394;7455
110602449R;101.20;55.66;48.37;45;52.2;PUMPE        RN11;390;7455
110602664R;102.46;56.35;48.98;45;52.2;THERMOST     7A11;0;7455
110602770R;89.25;49.09;42.66;45;52.2;THERMOSTAT   PA11;320;7455
110603082R;99.26;54.59;47.45;45;52.2;GEHAEUSE     ZP11;690;7455
110603305R;98.40;54.12;47.04;45;52.2;GEHAEUSE     ZP11;538;7455
110603999R;87.32;48.03;41.74;45;52.2;THERM.GEHAEUSZP11;150;7455
110604371R;86.68;47.67;41.43;45;52.2;THERM.GEH.   ZM11;330;7455
110605RF1A;87.32;48.03;41.74;45;52.2;GEHAEUSE     CN11;330;7455
110605223R;87.32;48.03;41.74;45;52.2;THERMOGEHAUSEZP11;816;7455
110605536R;87.32;48.03;41.74;45;52.2;GEHAEUSE     ZJ11;225;7455
110606181R;89.45;49.20;42.76;45;52.2;GEHAEUSE     7A11;0;7455
110606973R;89.25;49.09;42.66;45;52.2;THERMOSTAT   7A11;330;7455
110606993R;73.42;40.38;35.09;45;52.2;GEHAUESE     ZM11;400;7455
110608431R;82.79;45.53;39.57;45;52.2;THERMOSTAT   ZJ11;435;7455
110608635R;90.49;49.77;43.25;45;52.2;GEHAEUSE     ZP11;460;7455
110609363R;87.32;48.03;41.74;45;52.2;GEHAEUSE     4A11;86;7455
110609657R;68.98;37.94;32.97;45;52.2;GEHAUSE      4A11;188;7455
110609813R;89.25;49.09;42.66;45;52.2;THERMOSTAT   ZJ11;370;7455
11061BV80A;102.61;56.44;49.05;45;52.2;GEHAEUSE     ZL11;2240;7455
110610362R;93.19;51.25;44.54;45;52.2;GEHAEUSE     ZP12;370;7455
110611151R;87.32;48.03;41.74;45;52.2;THERM.GEH.   5K11;320;7455
110611214R;25.31;13.92;12.10;45;52.2;GEHAEUSE     ZP11;70;7455
110611271R;88.88;48.88;42.48;45;52.2;THERMOSTAT   ZR11;780;7455
110612563R;98.03;53.92;46.86;45;52.2;GEHAEUSE     ZP11;385;7455
110612674R;87.32;48.03;41.74;45;52.2;GEHAEUSE     4A11;140;7455
110614599R;87.32;48.03;41.74;45;52.2;THERMOSTAT   ZR11;410;7455
110615482R;87.32;48.03;41.74;45;52.2;GEHAEUSE     ZR11;360;7455
110616064R;87.32;48.03;41.74;45;52.2;THERMOSTAT   ZP11;385;7455
110616357R;87.68;48.22;41.91;45;52.2;THERMOSTAT   7A10;550;7455
110616700R;97.04;53.37;46.39;45;52.2;GEHAEUSE     7A19;430;7455
110617250R;98.40;54.12;47.04;45;52.2;GEHAEUSE     ZP11;320;7455
110618527R;87.32;48.03;41.74;45;52.2;THERMOSTAT   ZR11;350;7455
110619413R;98.40;54.12;47.04;45;52.2;THERMOSTAT   ZP11;307;7455
110673774R;84.65;50.79;46.56;40;45;STEUERGERAET ZR13;90;7455
110675191R;84.65;50.79;46.56;40;45;STEUERGERAET 7U13;90;7455
110675590R;82.48;49.49;45.36;40;45;STEUERGERAET 5A13;90;7455
110678071R;91.64;54.98;50.40;40;45;STEUERGERAET FP13;175;7455
110679886R;91.64;54.98;50.40;40;45;RELAIS       7A13;70;7455
117101869R;39.38;32.17;28.39;18.3;27.9;HALTER       ZP15;567;7455
117102094R;254.35;207.80;183.39;18.3;27.9;SPANNER      ZP15;540;7455
117102877R;82.06;67.04;59.17;18.3;27.9;HALTER       ZM15;930;7455
117105124R;112.27;91.72;80.95;18.3;27.9;HALTER       ZR15;1270;7455
117107055R;110.37;90.17;79.58;18.3;27.9;HALTER       4A15;830;7455
117107507R;132.65;108.38;95.64;18.3;27.9;HALTER       ZP12;276;7455
11720BV80B;61.37;27.00;21.60;56;64.8;RILLENRIEMEN XX15;100;7455
117200033R;84.40;39.67;35.45;53;58;KEILRIEMEN   ZE15;155;7455
117200051R;197.23;92.70;82.84;53;58;REP-SATZ     ZA15;1105;7455
117200070R;144.00;67.68;60.48;53;58;SPANNROLLE   ZM15;1030;7455
117200230R;36.43;16.03;12.82;56;64.8;RILLENRIEMEN ZP15;280;7455
117200277R;132.73;62.38;55.75;53;58;RIEMENSATZ   ZP15;930;7455
117200278R;45.61;20.07;16.05;56;64.8;KEILRIEMEN   ZJ15;100;7455
117200319R;197.23;92.70;82.84;53;58;RIEMENSATZ   RA11;1105;7455
117200334R;216.00;101.52;90.72;53;58;REP.SATZ     ZM15;1340;7455
117200336R;41.11;18.09;14.47;56;64.8;RILLENRIEMEN DA15;0;7455
117200713R;197.23;92.70;82.84;53;58;REP.SATZ KEILRA15;1075;7455
117201291R;108.01;50.76;45.36;53;58;REP.SATZ     4A15;1700;7455
117201565R;45.61;20.07;16.05;56;64.8;RILLENRIEMEN ZJ15;110;7455
117201617R;45.61;20.07;16.05;56;64.8;RIEMEN       4A15;100;7455
117201622R;59.98;26.39;21.11;56;64.8;RIEMEN       DH15;250;7455
117201627R;228.53;107.41;95.98;53;58;RIEMENSATZ   ZR15;1160;7455
117201759R;144.00;67.68;60.48;53;58;RIEMEN       RN15;840;7455
117201773R;125.21;58.85;52.59;53;58;REP.SATZ     ZC15;685;7455
117201902R;216.00;101.52;90.72;53;58;RIEMENSATZ   ZM15;1200;7455
117201925R;125.21;58.85;52.59;53;58;REP.SATZ     DA15;780;7455
117201947R;129.26;60.75;54.29;53;58;REP.SATZ     4A15;1030;7455
117202001R;59.98;26.39;21.11;56;64.8;KEILRIEMEN   CJ15;150;7455
117202056R;216.00;101.52;90.72;53;58;RIEMENSATZ   7A15;1024;7455
117202097R;37.61;16.55;13.24;56;64.8;RILLENRIEMEN ZP15;50;7455
117202122R;58.63;25.80;20.64;56;64.8;KEILRIEMEN   NA15;120;7455
117202237R;94.46;41.56;33.25;56;64.8;RIEMEN       YT15;120;7455
117202245R;216.00;101.52;90.72;53;58;KEILRIEM.SATZYT15;1310;7455
117202275R;45.59;20.06;16.05;56;64.8;RILLENRIEMEN ZJ15;100;7455
117202339R;125.21;58.85;52.59;53;58;REP-SATZ     ZJ15;770;7455
117202495R;125.21;58.85;52.59;53;58;RILLENR.SATZ ZJ15;785;7455
117202503R;94.46;41.56;33.25;56;64.8;RILLENRIEMEN 2A15;110;7455
117202506R;93.91;44.14;39.44;53;58;RIEMENSATZ   DQ15;680;7455
117202657R;152.04;71.46;63.86;53;58;RIEMENSATZ   4A15;1020;7455
117202663R;144.00;67.68;60.48;53;58;REP.SATZ     ZL15;1090;7455
117202851R;59.98;26.39;21.11;56;64.8;KEILRIEMEN   5K15;100;7455
117202957R;187.83;88.28;78.89;53;58;RIEMENSATZ   7U15;1180;7455
117203TA0A;52.63;23.16;18.53;56;64.8;RIEMEN       ZN15;200;7455
117203078R;241.01;113.27;101.22;53;58;REP-SATZ     DA15;2100;7455
117203336R;199.10;93.58;83.62;53;58;KEILR.SATZ   ZP15;1140;7455
117203466R;132.73;62.38;55.75;53;58;REP.SATZ     ZP15;847;7455
117203694R;125.21;58.85;52.59;53;58;RIEMENSATZ   ZC15;850;7455
117203790R;199.10;93.58;83.62;53;58;KEILR.SATZ   ZP15;1150;7455
117203804R;125.21;58.85;52.59;53;58;RIEMENSATZ   4A15;790;7455
117203866R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN 4A15;260;7455
117203942R;199.10;93.58;83.62;53;58;REP.SATZ     XY15;1040;7455
117204083R;213.79;100.48;89.79;53;58;RIEMENSATZ   DH15;2010;7455
117204171R;94.46;41.56;33.25;56;64.8;RIEMENSATZ   ZL15;115;7455
117204246R;125.21;58.85;52.59;53;58;RIEMEN       4A15;740;7455
117204663R;253.56;119.17;106.50;53;58;REP.SATZ     ZB15;1215;7455
117204734R;85.30;40.09;35.83;53;58;KEILRIEMEN   DA15;160;7455
117205040R;249.16;117.11;104.65;53;58;RIEMENSATZ   ZR15;1215;7455
117205052R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN AA10;160;7455
117205123R;59.98;26.39;21.11;56;64.8;KEILRIEMEN   ZP15;130;7455
117205152R;94.46;41.56;33.25;56;64.8;KEILRIEMEN   ZP15;180;7455
117205156R;45.61;20.07;16.05;56;64.8;RIEMEN       GA15;100;7455
117205191R;45.61;20.07;16.05;56;64.8;RILLENRIEMEN ZJ15;140;7455
117205367R;45.61;20.07;16.05;56;64.8;RILLENRIEMEN ZJ17;180;7455
117205678R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN ZP15;260;7455
117205825R;125.21;58.85;52.59;53;58;KEILRI.-SATZ JZ15;790;7455
117205930R;85.30;40.09;35.83;53;58;REP.SATZ     ZE15;165;7455
117206040R;131.48;61.80;55.22;53;58;REP.-SATZ    ZA15;880;7455
117206096R;125.21;58.85;52.59;53;58;REP.SATZ     ZJ15;780;7455
117206170R;144.00;67.68;60.48;53;58;REP.SATZ     ZL15;825;7455
117206285R;216.00;101.52;90.72;53;58;REP -SATZ    4A15;851;7455
117206430R;99.07;43.59;34.87;56;64.8;KEILR.TRIII;240;7455
117206746R;187.83;88.28;78.89;53;58;RIEMENSATZ   ZC15;1355;7455
117206838R;101.83;47.86;42.77;53;58;REP.SATZ     ZC15;1450;7455
117206842R;45.59;20.06;16.05;56;64.8;KEILRIEMEN   ZC15;180;7455
117207020R;125.21;58.85;52.59;53;58;REP.SATZ     2A15;850;7455
117207237R;59.98;26.39;21.11;56;64.8;RIEMEN       4A15;140;7455
117207253R;228.53;107.41;95.98;53;58;RIEMENSATZ   YT15;1210;7455
117207378R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN DH15;260;7455
117207504R;59.98;26.39;21.11;56;64.8;KEILRIEMEN   4A15;160;7455
117207538R;199.10;93.58;83.62;53;58;KEILR.SATZ   ZP15;1465;7455
117207658R;59.98;26.39;21.11;56;64.8;RIEMEN       ZP15;120;7455
117207736R;216.00;101.52;90.72;53;58;REP.SATZ     ZM15;1410;7455
117207775R;99.07;43.59;34.87;56;64.8;KEILRIEMEN   5A15;210;7455
117207930R;45.61;20.07;16.05;56;64.8;RIEMEN       4A15;120;7455
117207977R;94.46;41.56;33.25;56;64.8;RILLENRIEMEN YM15;210;7455
117208115R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN  H5H;130;7455
117208277R;94.46;41.56;33.25;56;64.8;RIEMEN       ZM15;210;7455
117208309R;45.61;20.07;16.05;56;64.8;RIEMEN       HA15;100;7455
117208314R;99.07;43.59;34.87;56;64.8;RILLENRIEMEN ZQ15;170;7455
117208464R;125.21;58.85;52.59;53;58;REP.SATZ     ZN15;1610;7455
117208598R;45.61;20.07;16.05;56;64.8;RIEMENSATZ   DU15;125;7455
117208680R;216.00;101.52;90.72;53;58;REP.SATZ     YT15;1310;7455
117208883R;94.88;44.59;39.85;53;58;REP.SATZ     YL15;1265;7455
117209058R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN CJ15;160;7455
117209256R;228.53;107.41;95.98;53;58;RIEMENSATZ   ZR14;1140;7455
117209336R;44.57;20.95;18.72;53;58;KEILRIEMEN   DN15;710;7455
117209354R;45.61;20.07;16.05;56;64.8;RILLENRIEMEN HA15;110;7455
117209389R;216.00;101.52;90.72;53;58;REP.-SATZ    ZM15;1075;7455
117209538R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN ZP15;120;7455
117209638R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN ZP15;110;7455
117209663R;45.61;20.07;16.05;56;64.8;REP.SATZ     ZJ15;100;7455
117209699R;125.21;58.85;52.59;53;58;REP.SATZ     ZJ15;770;7455
117209884R;59.98;26.39;21.11;56;64.8;RILLENRIEMEN DH15;260;7455
117209886R;249.16;117.11;104.65;53;58;KEILR.SATZ   YQ15;1030;7455
11750DB00B;340.46;173.63;154.57;49;54.6;RIEMENSPANNERYQ15;1350;7455
117501113R;123.55;63.01;56.09;49;54.6;SPANNROLLE   ZJ15;620;7455
117501769R;123.55;63.01;56.09;49;54.6;SPANNROLLE   RN15;690;7455
117506193R;123.55;63.01;56.09;49;54.6;SPANNROLLE   DH15;500;7455
117506567R;136.14;69.43;61.81;49;54.6;SPANNROLLE   YL15;700;7455
117507541R;102.32;52.18;46.45;49;54.6;SPANNER      ZP15;1120;7455
117508947R;123.55;63.01;56.09;49;54.6;SPANNROLLE   5K15;1823;7455
11752DB00B;162.65;82.95;73.84;49;54.6;RIEMENSPANNERZK15;495;7455
119A00397R;332.99;137.86;116.88;58.6;64.9;REP.SATZ     ZC11;1100;7455
119A01812R;355.80;147.30;124.89;58.6;64.9;SUPERKIT F9Q;1100;7455
119A01820R;261.05;108.07;91.63;58.6;64.9;SUPER KIT D4D;1100;7455
119A02421R;333.33;138.00;117.00;58.6;64.9;SUPERKIT K9K;1100;7455
119A02552R;327.67;135.66;115.01;58.6;64.9;SUPERKIT K9K;1100;7455
119A03890R;270.63;112.04;94.99;58.6;64.9;SUPERKIT D7D/D7F;1160;7455
119A04462R;367.18;152.01;128.88;58.6;64.9;SUPERKIT F4R;1100;7455
119A04687R;343.29;142.12;120.49;58.6;64.9;SUPERKIT K4M;1100;7455
119A05019R;342.12;141.64;120.08;58.6;64.9;ZAHNR.SATZ   ZC11;116;7455
119A05607R;434.45;179.86;152.49;58.6;64.9;SUPERKIT G9T/G9U;1180;7455
119A06559R;367.18;152.01;128.88;58.6;64.9;REP.SATZ     ZA11;1420;7455
119A07049R;379.19;156.98;133.10;58.6;64.9;SUPERKIT K9K;1100;7455
119A08272R;333.33;138.00;117.00;58.6;64.9;SUPERKIT K9K;1100;7455
119A08413R;404.59;167.50;142.01;58.6;64.9;SUPERKIT K7J;1100;7455
