Typ;Teilenummer;Bezeichnung;Detail1;Detail2;Detail3
NEU;0000094900;WERKZEUG BVI 949;36,15 €;930Z;
NEU;112100513R;TAMPON HYDRO-ELAS;142,80 €;038M;
NEU;123004030R;ZMS.SCHEIBE  ZR10;921,28 €;029M;
NEU;164462729R;KR.ST.LEITUNGQQ19;175,62 €;533M;
NEU;172A22199R;ADBLUETANK   DN19;827,96 €;487M;
NEU;204174KJ0A;HALTERBAND   5Q19;136,08 €;126C;
NEU;206514CL4A;HALTER       5K19;26,71 €;042U;
NEU;214219316R;RAHMEN       CN19;317,74 €;505C;
NEU;214814618R;LUEFTERZARGE GA87;639,77 €;692M;
NEU;215593156R;RAHMEN       CN19;163,16 €;553C;
NEU;217410625R;SCHLAUCH     JA19;136,16 €;540M;
NEU;223657340R;FUEHLER      ZP17;7,23 €;714M;
NEU;240105217R;KABELSTRANG  7A88;779,08 €;156C;
NEU;240135404R;KABELSTRANG  DE88;35,93 €;159C;
NEU;240140705S;KABELSTRANG  YU56;319,58 €;159C;
NEU;241269888R;KABELSTRANG  YM88;28,24 €;159C;
NEU;256103183R;HUPE         TM82;69,35 €;641C;
NEU;260104911R;SCHEINWERFER KA80;225,08 €;632C;
NEU;284B10678R;UCH          YM87;428,25 €;375M;Wird ersetzt durch 284B19648R
NEU;391004BD0A;ANTR.-WELLE  QN29;552,67 €;066M;
NEU;397410248R;MANSCHETTE   QM29;85,70 €;139M;
NEU;403880690S;KABELSTRANG  5K88;1077,30 €;156C;
NEU;479105978R;ABS-GEBER    TT37;70,53 €;252U;
NEU;488206669R;LENKWELLE    FH36;543,01 €;140M;
NEU;6020016703;HALTER       XX19;32,56 €;126C;
NEU;654229247R;HALTER       GA50;40,28 €;313C;
NEU;760224418R;SEITENTEIL   QN43;1126,93 €;225C;
NEU;766306350R;BLECH        YM43;477,73 €;205C;
NEU;767125988R;BLECH        QN44;164,98 €;268C;
NEU;769239613R;FOLIE        EE56;173,19 €;378C;
NEU;769845758R;KLAMMER      JK47;4,07 €;466C;
NEU;7701070822;FASSUNG      IA80;17,72 €;645C;
NEU;7701207454;HEIZUNG.KUEH.RA60;190,49 €;729M;
NEU;7703033179;MUTTER       DU59;2,76 €;462C;
