Typ;Teilenummer;Bezeichnung;Detail1;Detail2;Detail3
NEU;113606LA0A;LAGER        5K19;121,50 €;038M;
NEU;118268166R;LEITUNG      ZP14;61,89 €;533M;
NEU;169015454R;SCHLAUCH     ZE14;6,66 €;993M;
NEU;200102147R;FAP          YT19;2786,30 €;273U;
NEU;215010124R;SCHLAUCH     RN19;86,06 €;540M;
NEU;237108709R;STEUERGERAET DA17;658,45 €;642M;
NEU;240111952S;KABELSTRANG  7A88;1340,55 €;460C;
NEU;243860002R;MASSEBAND    FU88;120,75 €;159C;
NEU;260926078R;HALTER       RN80;173,83 €;471C;
NEU;275003340R;BED.EINHEIT  DI61;303,47 €;882C;
NEU;280214118R;RADIO        5A86;995,25 €;394M;
NEU;282432421R;KABELSTRANG  7A88;117,58 €;159C;
NEU;283E84929R;SCHALTER     7A84;146,47 €;360C;
NEU;284B86US1D;ABDECKUNG    5K87;60,61 €;104C;
NEU;288810010R;WISCHERARM L.UA85;94,94 €;677E;
NEU;295176757R;KABELSTRANG  ZZ19;57,05 €;419C;
NEU;297C93702R;RAHMEN       2A88;15,28 €;991M;
NEU;328967525R;HEBEL        5A23;50,78 €;176C;
NEU;430421599R;ACHSSCHENKEL CN33;207,49 €;117U;
NEU;460116191R;HAUPT.BR.ZYL 5A37;274,67 €;821U;
NEU;472506154R;STEUERTEIL   JE37;397,16 €;699M;
NEU;474784CU0A;ANSCHLUSS    5A37;46,59 €;832U;
NEU;622549239R;GRILL        7A55;88,71 €;338C;
NEU;631477391R;KLAMMER      YU09;45,55 €;126C;
NEU;765835918R;VERSTAERKUNG CJ43;53,39 €;126C;
NEU;7700109906;DICHTUNG     OP12;12,60 €;528U;
NEU;7703002736;SCHRAUBE     ZZ19;1,66 €;463C;
NEU;7703074650;STOPFEN      IA64;3,93 €;978C;
NEU;7711784965;100 IXELLNET P150;31,04 €;958B;
NEU;7711784999;50ST.IXSAND P1200;26,36 €;958B;
NEU;7717284690;STYLOS EMBLEM;11,76 €;840L;
